,index,current_price,market_cap,total_volume,date
0,aed,130664.32569134016,2492941963624.5063,70269049082.80249,08-05-2022
1,ars,4137238.1582707334,78934281133669.8,2224936222435.4795,08-05-2022
2,aud,50259.004274909734,958890501626.8687,27028436564.919834,08-05-2022
3,bch,132.25192192402065,2520418649.1170945,71122831.29923873,08-05-2022
4,bdt,3074886.2849932355,58665691746198.836,1653621477331.4058,08-05-2022
5,bhd,13415.477888805048,255953624787.23712,7214615536.795832,08-05-2022
6,bmd,35573.31019883488,678702448510.6605,19130720394.98043,08-05-2022
7,bnb,97.14946370383583,1849334574.8125978,52245327.07954896,08-05-2022
8,brl,180780.00509945943,3449097973086.327,97220407975.2513,08-05-2022
9,btc,1.0,19033612.0,538010.0682396326,08-05-2022
10,cad,45919.8074701661,876103055659.9861,24694890421.86054,08-05-2022
11,chf,35165.92465043783,670929948070.3163,18911635385.01712,08-05-2022
12,clp,30557117.727697205,582998616246172.8,16433097512084.258,08-05-2022
13,cny,237149.47244053255,4524569872996.316,127534947513.13695,08-05-2022
14,czk,843976.8200406692,16102216269617.885,453876360501.6319,08-05-2022
15,dkk,250911.00749095218,4787125915202.674,134935666697.93532,08-05-2022
16,dot,2578.2221944175885,49105946105.68938,1386523987.839378,08-05-2022
17,eos,17905.16629962287,341515310646.96277,9629093502.660051,08-05-2022
18,eth,13.475030601464416,256658266.74016228,7246641.971453754,08-05-2022
19,eur,33724.209534699476,643423495237.0775,18136305548.849365,08-05-2022
20,gbp,28828.824024997048,550024536487.7308,15503650592.414547,08-05-2022
21,hkd,279245.3269308757,5327715808953.661,150173381146.13953,08-05-2022
22,huf,12882874.288508017,245792091728136.34,6928190391042.144,08-05-2022
23,idr,515764973.9143377,9840269255099086.0,277369619254683.2,08-05-2022
24,ils,120999.41304341922,2308545295388.648,65071423658.69053,08-05-2022
25,inr,2737476.4970619627,52228257390485.734,1472168239626.9697,08-05-2022
26,jpy,4644984.452016415,88621562155909.19,2497993532057.298,08-05-2022
27,krw,45178163.1465085,861953238969412.8,24296046735143.902,08-05-2022
28,kwd,10919.227565532392,208327716570.3478,5872174625.239257,08-05-2022
29,lkr,12825277.933271535,244693212059479.3,6897216052088.577,08-05-2022
30,ltc,376.1669880479278,7161753448.283866,202296199.87409973,08-05-2022
31,mmk,66211771.99203136,1263253026497744.5,35607563360163.08,08-05-2022
32,mxn,716446.4674045355,13669067313004.71,385292708754.90643,08-05-2022
33,myr,155455.36556890854,2965929699991.595,83601248126.06454,08-05-2022
34,ngn,14769682.661454238,281790469597141.2,7942883800791.916,08-05-2022
35,nok,337608.5004420433,6441225587590.436,181560101908.56223,08-05-2022
36,nzd,55512.15056528186,1059115170900.8868,29853489176.366978,08-05-2022
37,php,1863881.2678031207,35560952104832.99,1002363603063.035,08-05-2022
38,pkr,6605074.371168673,126018077127216.95,3552096509337.995,08-05-2022
39,pln,159029.41604458535,3034118934993.4507,85523311604.14815,08-05-2022
40,rub,2454558.190279745,46830464875020.89,1320019592469.327,08-05-2022
41,sar,133431.32447853626,2545733476177.0127,71757093907.28532,08-05-2022
42,sek,353986.4524575866,6753700194884.732,190367885578.41107,08-05-2022
43,sgd,49361.63195183387,941769553660.738,26545845012.23603,08-05-2022
44,thb,1221524.6497621848,23305443493332.023,656915153511.4138,08-05-2022
45,try,531643.1209215883,10143208092991.836,285908616302.9831,08-05-2022
46,twd,1055175.5271178377,20131672027723.15,567455428355.9081,08-05-2022
47,uah,1075976.5222302668,20528533782655.484,578641849276.7892,08-05-2022
48,usd,35573.31019883488,678702448510.6605,19130720394.98043,08-05-2022
49,vef,3561.955550209345,67958476169.37253,1915559033.149395,08-05-2022
50,vnd,816650831.0230216,1.5580864291109576e+16,439180908982193.5,08-05-2022
51,xag,1590.9380373604579,30353473864.25263,855579382.0806336,08-05-2022
52,xau,18.883380252847537,360275620.74291414,10155160.30726747,08-05-2022
53,xdr,25883.780820255834,493836118180.43,13919856512.354868,08-05-2022
54,xlm,211766.52486441834,4040238470364.683,113884430590.05928,08-05-2022
55,xrp,60988.40256913353,1163852266631.6968,32798524240.92976,08-05-2022
56,yfi,2.1618157290718876,41090617.96097254,1162587.6823714764,08-05-2022
57,zar,571621.4741223444,10905954265701.57,307408293804.4737,08-05-2022
58,bits,1000422.2868996854,19040720568203.277,538010068239.6327,08-05-2022
59,link,3466.8343332122427,66064372936.974655,1864404462.6067462,08-05-2022
60,sats,100042228.68996854,1904072056820327.8,53801006823963.266,08-05-2022
